Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","搜 一下 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","帮 我 找 一下 <lastnames> 地点","1","2","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","帮 我 搜索 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","帮 我 给 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","给 我 找 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","给 我 提供 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","请 查看 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","请 显示 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","请 帮 我 查找 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","请 帮 我 搜 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","请 给 我 找 一 找 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","请 给 我 搜 一下 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","麻烦 找 一下 <lastnames> 地点","1","3","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","麻烦 搜索 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","麻烦 给 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","麻烦 帮 我 找 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","麻烦 帮 我 提供 <lastnames> 地点","1","4","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","麻烦 给 我 查看 <lastnames> 地点","1","5","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","麻烦 给 我 显示 <lastnames> 地点","1","5","","4R1-YTG"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","<contacts> 的 <addresstypes> 住址 在 啥","0","2","","R6V-52G"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","<lastnames> 的 <addresstypes> 地点 是 哪儿","0","2","","R6V-52G"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","<common_names> <addresstypes> 地方 在 什么","0","1","","R6V-52G"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","查看 <lastnames> <addresstypes> 地点","1","3","","J3B-8QP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","显示 <lastnames> <addresstypes> 地点","1","3","","J3B-8QP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","请 查找 <lastnames> <addresstypes> 地点","1","3","","J3B-8QP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","请 搜 <lastnames> <addresstypes> 地点","1","3","","J3B-8QP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","麻烦 找 一 找 <lastnames> <addresstypes> 地点","1","4","","J3B-8QP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","麻烦 搜 一下 <lastnames> <addresstypes> 地点","1","4","","J3B-8QP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact and Type","","有 <lastnames> <addresstypes> 地点 吗","1","2","","QPQ-RM7"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","<lastnames> 电子邮件 是 多少","0","0","","WH8-S99"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","找 一下 <lastnames> 邮件 地址","1","2","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","查找 <contacts> 的 电子 信箱 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","查看 <common_names> 电子邮件 地址","1","2","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","搜索 <lastnames> 邮件 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","搜 <contacts> 的 电子 信箱 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","显示 <common_names> 电子邮件 地址","1","2","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","给 <lastnames> 邮件 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","请 找 一 找 <contacts> 的 电子 信箱 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","请 查找 <common_names> 电子邮件 地址","1","2","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","请 找 <lastnames> 邮件 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","请 搜 一下 <contacts> 的 电子 信箱 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","请 搜 <common_names> 电子邮件 地址","1","2","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","请 提供 <lastnames> 邮件 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","麻烦 找 一下 <contacts> 的 电子 信箱 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","麻烦 找 一 找 <common_names> 电子邮件 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","麻烦 查看 <lastnames> 邮件 地址","1","4","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","麻烦 搜索 <contacts> 的 电子 信箱 地址","1","4","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","麻烦 搜 一下 <common_names> 电子邮件 地址","1","3","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","麻烦 显示 <lastnames> 邮件 地址","1","4","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","麻烦 给 <contacts> 的 电子 信箱 地址","1","4","","JGY-S6Q"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","<common_names> 电子邮件 地址","1","1","","67H-RYB"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","把 <lastnames> 邮件 地址 告诉 我","1","2","","Z4H-BJB"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact","","<firstnames> 邮箱 呢","1","2","","VPN-G6C"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","<firstnames> <emailtypes> 信箱 住址 是 多少","0","2","","GSD-H9Z"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","<lastnames> 的 <emailtypes> 邮箱 住址 是 多少","0","2","","GSD-H9Z"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","<common_names> 的 <emailtypes> 电邮 住址 是 多少","0","2","","GSD-H9Z"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","查找 <nicknames> <emailtypes> 电邮","1","3","","5TR-93T"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","搜索 <common_names> 的 <emailtypes> 信箱","1","3","","5TR-93T"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","提供 <firstnames> <emailtypes> 邮箱","1","3","","5TR-93T"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","请 找 一 找 <nicknames> <emailtypes> 电邮","1","3","","5TR-93T"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","请 找 <common_names> 的 <emailtypes> 信箱","1","3","","5TR-93T"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","请 显示 <firstnames> <emailtypes> 邮箱","1","3","","5TR-93T"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","告诉 我 <firstnames> 的 <emailtypes> 电子邮件 地址","1","1","","2PM-BGX"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","请 告诉 我 <common_names> 的 <emailtypes> 邮件 地址","1","2","","2PM-BGX"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Email - By Contact and Type","","将 <nicknames> <emailtypes> 电子 信箱 地址 告诉 我","1","3","","7F9-1NH"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Event - By Contact and Type","","<nicknames> <eventtypes> 在 哪一天","1","1","","31J-NZX"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Event - By Contact and Type","","查找 <common_names> 的 <eventtypes>","1","2","","NWD-1P8"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Event - By Contact and Type","","提供 <lastnames> 的 <eventtypes> 日期","1","2","","NWD-1P8"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Event - By Contact and Type","","请 查找 <firstnames> <eventtypes> 事件","1","2","","NWD-1P8"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Event - By Contact and Type","","请 显示 <common_names> 的 <eventtypes>","1","2","","NWD-1P8"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","<contacts> 全部 电话号码 是 多少","0","1","","NMS-816"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","<lastnames> 全部 的 电话号码 是 多少","0","1","","NMS-816"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","<common_names> 一切 电话号码 是 多少","0","1","","NMS-816"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","找 一下 <lastnames> 的 一切 电话","1","3","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","找 一 找 <lastnames> 所有 电话","1","3","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","查找 <firstnames> 全部 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","查看 <contacts> 一切 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","查看 <common_names> 的 所有 电话","1","3","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","找 <lastnames> 所有 的 电话号","1","3","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","找 <common_names> 全部 的 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","搜索 <lastnames> 所有 电话","1","3","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","搜 一下 <firstnames> 全部 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","搜 <contacts> 一切 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","搜 <common_names> 的 所有 电话","1","3","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","显示 <nicknames> 全部 的 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","把 <common_names> 所有 的 号码 告诉 我","1","2","","W1K-H98"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","将 <nicknames> 全部 的 号码 告诉 我","1","4","","W1K-H98"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","提供 <firstnames> 全部 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","给 <contacts> 一切 电话","1","4","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phones - All By Contact","","给 <common_names> 的 所有 电话","1","3","","336-45K"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","<common_names> 的 一切 地址 是 哪","0","2","","MMX-5BJ"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","搜 一下 <lastnames> 的 一切 地址","1","3","","5V9-8DP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","请 查找 <firstnames> 全部 地址","1","3","","5V9-8DP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","请 搜索 <common_names> 全部 地址","1","3","","5V9-8DP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","请 显示 <lastnames> 的 所有 地址","1","2","","5V9-8DP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","麻烦 找 一下 <common_names> 的 一切 地址","1","3","","5V9-8DP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","麻烦 找 <lastnames> 的 所有 地址","1","3","","5V9-8DP"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","麻烦 帮 我 <contacts> 的 全部 地址","1","3","","MCY-8CC"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Addresses - All By Contact","","麻烦 给 我 <lastnames> 全部 地方","1","5","","MCY-8CC"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","把 <contacts> 全部 电子 信箱 地址 列出","0","2","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","把 <contacts> 的 一切 邮箱 地址 显示","0","3","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","把 <firstnames> 的 所有 信箱 罗列","0","2","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","把 <lastnames> 一切 电子邮件 地址 列出","0","1","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","把 <nicknames> 信箱 地址 显示","0","2","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","把 <nicknames> 的 全部 电邮 罗列","0","3","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","把 <common_names> 一切 邮件 地址 列出","0","2","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","将 <contacts> 所有 电邮 地址 显示","0","3","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","将 <contacts> 的 全部 邮箱 罗列","0","4","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","将 <firstnames> 的 电子 信箱 地址 列出","0","2","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","将 <lastnames> 所有 邮箱 地址 显示","0","3","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","将 <lastnames> 的 一切 信箱 罗列","0","4","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","将 <nicknames> 的 所有 电子邮件 地址 列出","0","1","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","将 <common_names> 全部 信箱 地址 显示","0","4","","266-MSD"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","找 一下 <contacts> 信箱 地址","1","2","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","找 一下 <lastnames> 所有 电邮 地址","1","2","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","找 一下 <common_names> 所有 邮箱 地址","1","2","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","找 一 找 <firstnames> 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","找 一 找 <nicknames> 一切 电邮 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","查找 <contacts> 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","查找 <lastnames> 的 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","查找 <common_names> 的 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","查看 <firstnames> 的 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","查看 <nicknames> 的 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","找 <contacts> 的 一切 电邮 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","找 <lastnames> 的 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜索 <contacts> 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜索 <lastnames> 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜索 <common_names> 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜 一下 <firstnames> 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜 一下 <nicknames> 一切 电邮 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜 <contacts> 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜 <lastnames> 的 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","搜 <common_names> 的 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","显示 <firstnames> 的 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","显示 <nicknames> 的 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","提供 <contacts> 的 一切 电邮 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","提供 <lastnames> 的 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","给 <contacts> 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","给 <lastnames> 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","给 <common_names> 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","列出 <firstnames> 全部 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","列出 <nicknames> 一切 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","罗列 <contacts> 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","罗列 <lastnames> 的 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","罗列 <common_names> 的 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","显示 <firstnames> 的 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","显示 <nicknames> 的 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 找 一下 <contacts> 的 一切 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 找 一下 <lastnames> 的 一切 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 找 一 找 <contacts> 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 找 一 找 <lastnames> 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 找 一 找 <common_names> 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 查找 <firstnames> 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 查找 <nicknames> 一切 电邮 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 查看 <contacts> 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 查看 <lastnames> 的 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 查看 <common_names> 的 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 找 <firstnames> 的 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 找 <nicknames> 的 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 搜索 <contacts> 的 一切 电邮 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 搜索 <lastnames> 的 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 搜 一下 <contacts> 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 搜 一下 <lastnames> 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 搜 一下 <common_names> 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 搜 <firstnames> 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 搜 <nicknames> 一切 电邮 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 显示 <contacts> 一切 邮箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 显示 <lastnames> 的 信箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 显示 <common_names> 的 所有 电邮 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 提供 <firstnames> 的 所有 邮箱 地址","1","3","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 提供 <nicknames> 的 全部 信箱 地址","1","4","","K6K-SCT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Emails - All By Contact","","请 给 <contacts> 的 一切 电邮 地址","1","4","","K6K-SCT"
